ID,Nombres,Es
Escena1_Narracion1,narracion1,Marinette esta persiguiendo a Lyla tras haberla visto robar el libro de Adrien en la biblioteca del colegio.
Escena1_Narracion2,narracion2,Marinette llega a la plaza aun siguiendo a Lyla.
Escena2_Narracion1,,Con su celular nota que Lyla tiene un collar y el libro de Adrien.
Escena2_Narracion2,,Adrien tambien llega a la plaza y se acerca a Lyla.
Escena2_Narracion3,,Tikki intrigada le dice a Marinette que quiere ver el libro para investigar mas sobre lo que esta pasando.
Escena2_Dialogo1,Lyla,Ladybug no solo me salvo la vida sino que somos mejores amigas  y tenemos algo en comun yo soy la descendiente de una superheroina llamada volpina.
Escena3_Narracion1,narracion5,Lyla continua mintiendo asegurando que ella es una superheroina y mostrando a Adrien un collar que segun ella es un Miraculous.
Escena3_Narracion2,narracion6,Adrien parece confundido pero escucha atentamente.
Escena3_Narracion3,narracion7,Al ver esto Marinette se molesta cada vez mas sintiendo que las mentiras de Lyla estan fuera de control.
Escena3_Narracion4,narracion8,Furiosa y decidida a poner fin a la farsa se aleja rapidamente para transformarse en Ladybug.
Escena4_Narracion1,narracion9,Lady bug llega donde esta Lyla y Adrien.
Escena4_Dialogo1,Ladybug,Hola Lyla Como va todo Vi tu entrevista en el Lady Blog... Escuche que te salve la vida. Ay Lyla... Cuando dices que te salve no lo recuerdo.
Escena4_Dialogo2,Ladybug,Ah claro NUNCA y por cierto no somos amigas.
Escena5_Dialogo1,Lyla,Como te atreves
Escena5_Dialogo2,Adrien,Lyla
Escena5_Narracion1,narracion4,Lyla es akumatizada y se transforma en Volpina.
Escena6_Narracion1,narracion10,Usando sus poderes de ilusion engaña a toda Paris haciendoles creer que es una superheroina.
Escena7_Narracion1,narracion11,Ladybug descubre que Volpina es Lyla akumatizada y sus poderes son de ilusion.
Escena8_Pregunta,pregunta12,Que deberian hacer los heroes
Escena8_OpcionA,A,Desmentir sus mentiras
Escena8_OpcionB,B,Enfrentar a Volpina directamente.
Escena9_Narracion1,narracion,Ladybug y Cat Noir llegan al lugar y se enteran de que Volpina es Lyla akumatizada.
Escena9_Dialogo1,Ladybug,Atencion todo Necesitamos hablar sobre Volpina.
Escena9_Dialogo2,Cat Noir,No es una verdadera superheroina. Es una akumatizacion y no tiene buenas intenciones.
Escena9_Dialogo3,Ciudadano,Pero la vimos detener un meteorito
Escena9_Dialogo4,Ladybug,Eso es parte de su ilusion. Ella manipula lo que ven.
Escena9_Dialogo5,Cat Noir,No se dejen enganar por sus trucos.
Escena9_Dialogo6,Volpina,Silencio nadie les cree a ustedes Soy Volpina la mejor superheroina de Paris Ustedes no son verdaderos heroes.
Final1_Escena1_Dialogo1,Ladybug,Escuchen Volpina es Lyla akumatizada no es una heroina es una mentirosa usando ilusionones.
Final1_Escena1_Dialogo2,Volpina,Nadie te cree Ladybug. Yo soy la verdadera protectora de Paris
Final1_Escena1_Narracion1,narracion,Volpina crea ilusiones que muestran a Ladybug y Cat Noir colaborando con Hawk Moth.
